sido,sgg,total_population
서울특별시,서울특별시,9565990
부산광역시,부산광역시,3364358
대구광역시,대구광역시,2397646
인천광역시,인천광역시,2936367
광주광역시,광주광역시,1442647
대전광역시,대전광역시,1456107
울산광역시,울산광역시,1126369
세종특별자치시,세종시,362995
경기도,경기도,13500688
경기도,수원시,1184210
경기도,성남시,931654
경기도,의정부시,461523
경기도,안양시,549903
경기도,부천시,810742
경기도,광명시,295852
경기도,평택시,549901
경기도,동두천시,93354
경기도,안산시,655115
경기도,고양시,1080507
경기도,과천시,69276
경기도,구리시,194389
경기도,남양주시,724183
경기도,오산시,230705
경기도,시흥시,511314
경기도,군포시,270584
경기도,의왕시,162215
경기도,하남시,305908
경기도,용인시,1077826
경기도,파주시,472260
경기도,이천시,220904
경기도,안성시,189060
경기도,김포시,483642
경기도,화성시,870361
경기도,광주시,384714
경기도,양주시,235394
경기도,포천시,147597
경기도,여주시,112177
경기도,연천군,43042
경기도,가평군,62364
경기도,양평군,120012
강원도,강원도,1535530
강원도,춘천시,282511
강원도,원주시,354978
강원도,강릉시,212784
강원도,동해시,89999
강원도,태백시,41419
강원도,속초시,82254
강원도,삼척시,64073
강원도,홍천군,68619
강원도,횡성군,46614
강원도,영월군,38057
강원도,평창군,41109
강원도,정선군,35952
강원도,철원군,43932
강원도,화천군,24408
강원도,양구군,22027
강원도,인제군,31835
강원도,고성군,26924
강원도,양양군,28035
충청북도,충청북도,1597503
충청북도,청주시,847392
충청북도,충주시,209638
충청북도,제천시,132313
충청북도,보은군,32096
충청북도,옥천군,50282
충청북도,영동군,46316
충청북도,증평군,36499
충청북도,진천군,84746
충청북도,괴산군,37337
충청북도,음성군,92232
충청북도,단양군,28652
충청남도,충청남도,2117400
충청남도,당진시,166754
충청남도,천안시,657503
충청남도,공주시,103640
충청남도,보령시,98993
충청남도,아산시,320340
충청남도,서산시,176090
충청남도,논산시,115305
충청남도,계룡시,43168
충청남도,금산군,50890
충청남도,부여군,64361
충청남도,서천군,51153
충청남도,청양군,30548
충청남도,홍성군,99440
충청남도,예산군,77348
충청남도,태안군,61867
전라북도,전라북도,1794345
전라북도,전주시,657428
전라북도,군산시,266389
전라북도,익산시,280072
전라북도,정읍시,107422
전라북도,남원시,80032
전라북도,김제시,81462
전라북도,완주군,91024
전라북도,진안군,25181
전라북도,무주군,23875
전라북도,장수군,21880
전라북도,임실군,27009
전라북도,순창군,27283
전라북도,고창군,53869
전라북도,부안군,51419
전라남도,전라남도,1840921
전라남도,목포시,220794
전라남도,여수시,278481
전라남도,순천시,281816
전라남도,나주시,116513
전라남도,광양시,150591
전라남도,담양군,46522
전라남도,곡성군,27916
전라남도,구례군,25255
전라남도,고흥군,63374
전라남도,보성군,39838
전라남도,화순군,62153
전라남도,장흥군,37028
전라남도,강진군,34248
전라남도,해남군,68055
전라남도,영암군,53290
전라남도,무안군,88660
전라남도,함평군,31526
전라남도,영광군,52487
전라남도,장성군,43915
전라남도,완도군,49404
전라남도,진도군,30368
전라남도,신안군,38687
경상북도,경상북도,2632401
경상북도,포항시,503634
경상북도,경주시,252602
경상북도,김천시,140293
경상북도,안동시,157805
경상북도,구미시,414284
경상북도,영주시,102440
경상북도,영천시,102099
경상북도,상주시,96273
경상북도,문경시,71409
경상북도,경산시,266747
경상북도,군위군,22924
경상북도,의성군,51099
경상북도,청송군,24784
경상북도,영양군,16411
경상북도,영덕군,35779
경상북도,청도군,41847
경상북도,고령군,30927
경상북도,성주군,42964
경상북도,칠곡군,114016
경상북도,예천군,55784
경상북도,봉화군,31084
경상북도,울진군,48206
경상북도,울릉군,8990
경상남도,경상남도,3325840
경상남도,창원시,1034527
경상남도,진주시,347204
경상남도,통영시,126413
경상남도,사천시,110414
경상남도,김해시,539841
경상남도,밀양시,104070
경상남도,거제시,243200
경상남도,양산시,353686
경상남도,의령군,26526
경상남도,함안군,63157
경상남도,창녕군,60754
경상남도,고성군,50933
경상남도,남해군,42650
경상남도,하동군,44065
경상남도,산청군,34587
경상남도,함양군,38793
경상남도,거창군,61555
경상남도,합천군,43465
경상남도,마산시,368899
경상남도,진해시,193430
제주특별자치도,제주특별자치도,675293
제주특별자치도,제주시,492627
제주특별자치도,서귀포시,182666