sido,sgg,destinations
세종,세종,"['충청남도', '논산', '경상북도', '영주', '전라남도', '여수', '전라남도', '목포', '광주', '광주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '김해', '경기도', '안양', '전라북도', '김제', '전라남도', '나주', '충청북도', '제천', '경기도', '수원', '전라남도', '순천', '충청북도', '증평', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '충청북도', '음성', '전라북도', '완주', '충청북도', '옥천', '전라남도', '함평', '경상남도', '진주', '충청북도', '충주', '전라북도', '전주', '경기도', '평택', '전라남도', '장성', '경상남도', '함안', '전라북도', '임실', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '경상남도', '밀양', '부산', '부산', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '전라북도', '정읍', '전라북도', '남원', '경상북도', '청도', '전라남도', '곡성', '전라남도', '무안', '경상북도', '경산', '전라북도', '익산', '경기도', '오산']"
대전,대전,"['충청남도', '논산', '경상북도', '영주', '전라남도', '여수', '전라남도', '목포', '광주', '광주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '김해', '경기도', '안양', '경기도', '화성', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '충청북도', '제천', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '충청북도', '증평', '충청남도', '계룡', '충청북도', '청주', '충청북도', '음성', '전라북도', '완주', '경기도', '고양', '충청북도', '옥천', '전라남도', '함평', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '충청북도', '충주', '전라북도', '전주', '경기도', '평택', '전라남도', '장성', '경상남도', '함안', '전라북도', '임실', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '경상남도', '밀양', '부산', '부산', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '전라북도', '정읍', '전라북도', '남원', '경상북도', '청도', '전라남도', '곡성', '전라남도', '무안', '경상북도', '경산', '전라북도', '익산', '경상북도', '포항', '경기도', '오산']"
충청남도,아산,"['충청남도', '논산', '전라남도', '여수', '전라남도', '목포', '충청남도', '홍성', '광주', '광주', '경상북도', '김천', '전라북도', '군산', '경상남도', '창원', '충청남도', '보령', '서울', '서울', '대구', '대구', '충청남도', '예산', '경상남도', '김해', '경기도', '안양', '경기도', '화성', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '경기도', '수원', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '경기도', '고양', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '전라북도', '전주', '경기도', '평택', '충청남도', '서천', '전라남도', '장성', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '충청남도', '공주', '전라북도', '정읍', '전라북도', '남원', '전라남도', '곡성', '경상북도', '경산', '전라북도', '익산', '경상북도', '포항']"
울산,울산,"['경상북도', '영주', '경상북도', '김천', '경상북도', '안동', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '하동', '경상남도', '김해', '경기도', '화성', '경기도', '광명', '충청북도', '제천', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '대전', '대전', '강원도', '태백', '충청북도', '청주', '경상북도', '의성', '강원도', '동해', '경기도', '고양', '경상남도', '진주', '경상북도', '경주', '경상북도', '군위', '경상북도', '영천', '경기도', '평택', '강원도', '삼척', '경기도', '양평', '경상남도', '함안', '충청북도', '단양', '경상남도', '밀양', '부산', '부산', '경상남도', '양산', '강원도', '원주', '경상남도', '사천', '전라남도', '광양', '경상북도', '경산', '경상북도', '포항', '경상북도', '봉화']"
전라남도,함평,"['충청남도', '논산', '전라남도', '목포', '광주', '광주', '경상남도', '창원', '서울', '서울', '경상남도', '하동', '경상남도', '김해', '전라북도', '김제', '전라남도', '나주', '세종', '세종', '경기도', '수원', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '경상남도', '진주', '경기도', '평택', '전라남도', '장성', '경상남도', '함안', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '전라북도', '정읍', '경상남도', '사천', '전라남도', '광양', '전라남도', '무안', '전라북도', '익산']"
경상북도,안동,"['경상북도', '영주', '서울', '서울', '대구', '대구', '충청북도', '제천', '강원도', '태백', '경상북도', '의성', '강원도', '동해', '경기도', '고양', '울산', '울산', '경상북도', '경주', '경상북도', '군위', '경상북도', '영천', '강원도', '삼척', '경기도', '양평', '충청북도', '단양', '부산', '부산', '강원도', '원주', '경기도', '남양주', '경상북도', '경산', '경상북도', '봉화']"
강원도,삼척,"['경상북도', '영주', '경상북도', '안동', '서울', '서울', '대구', '대구', '강원도', '정선', '충청북도', '제천', '강원도', '영월', '강원도', '태백', '경상북도', '의성', '강원도', '동해', '경기도', '고양', '울산', '울산', '경상북도', '경주', '경상북도', '군위', '경상북도', '영천', '경기도', '양평', '부산', '부산', '강원도', '원주', '경기도', '남양주', '경상북도', '경산', '경상북도', '봉화']"
충청남도,논산,"['전라남도', '여수', '전라남도', '목포', '광주', '광주', '서울', '서울', '경기도', '안양', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '전라북도', '완주', '전라남도', '함평', '전라북도', '전주', '경기도', '평택', '전라남도', '장성', '전라북도', '임실', '충청남도', '천안', '전라남도', '화순', '전라남도', '보성', '전라북도', '정읍', '전라북도', '남원', '전라남도', '곡성', '전라남도', '무안', '전라북도', '익산']"
경상북도,영천,"['경상북도', '영주', '경상북도', '안동', '서울', '서울', '대구', '대구', '충청북도', '제천', '강원도', '태백', '경상북도', '의성', '강원도', '동해', '경기도', '고양', '울산', '울산', '경상북도', '경주', '경상북도', '군위', '강원도', '삼척', '경기도', '양평', '충청북도', '단양', '부산', '부산', '강원도', '원주', '경상북도', '경산', '경상북도', '포항', '경상북도', '봉화']"
충청남도,보령,"['충청남도', '홍성', '전라북도', '군산', '서울', '서울', '충청남도', '예산', '경기도', '안양', '경기도', '수원', '충청남도', '아산', '경기도', '평택', '충청남도', '서천', '충청남도', '천안', '전라북도', '익산']"
경기도,가평,"['서울', '서울', '강원도', '춘천', '경기도', '남양주']"
충청북도,영동,"['경상북도', '영주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '김해', '경기도', '안양', '충청북도', '제천', '세종', '세종', '경기도', '수원', '충청북도', '증평', '대전', '대전', '충청북도', '청주', '충청북도', '음성', '충청북도', '옥천', '경상남도', '진주', '충청북도', '충주', '경기도', '평택', '경상남도', '함안', '충청남도', '천안', '충청북도', '단양', '경상남도', '밀양', '부산', '부산', '경상남도', '양산', '경상북도', '청도', '경상북도', '경산', '경기도', '오산']"
충청남도,홍성,"['전라북도', '군산', '충청남도', '보령', '서울', '서울', '충청남도', '예산', '경기도', '안양', '경기도', '수원', '충청남도', '아산', '경기도', '평택', '충청남도', '서천', '충청남도', '천안', '전라북도', '익산']"
경상북도,의성,"['경상북도', '영주', '경상북도', '안동', '서울', '서울', '대구', '대구', '충청북도', '제천', '강원도', '태백', '강원도', '동해', '경기도', '고양', '울산', '울산', '경상북도', '경주', '경상북도', '군위', '경상북도', '영천', '강원도', '삼척', '경기도', '양평', '충청북도', '단양', '부산', '부산', '강원도', '원주', '경상북도', '경산', '경상북도', '봉화']"
충청북도,단양,"['경상북도', '영주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상북도', '안동', '서울', '서울', '대구', '대구', '충청북도', '제천', '세종', '세종', '충청북도', '증평', '대전', '대전', '충청북도', '청주', '경상북도', '의성', '충청북도', '음성', '경기도', '고양', '충청북도', '옥천', '울산', '울산', '경상북도', '경주', '충청북도', '충주', '경상북도', '군위', '경상북도', '영천', '경기도', '양평', '충청북도', '영동', '부산', '부산', '강원도', '원주', '경기도', '남양주']"
경기도,수원,"['충청남도', '논산', '전라남도', '여수', '전라남도', '목포', '충청남도', '홍성', '광주', '광주', '경상북도', '김천', '전라북도', '군산', '경상북도', '구미', '경상북도', '칠곡', '경상남도', '창원', '충청남도', '보령', '서울', '서울', '대구', '대구', '충청남도', '예산', '경상남도', '김해', '경기도', '안양', '전라북도', '김제', '전라남도', '나주', '충청북도', '제천', '세종', '세종', '충청남도', '아산', '전라남도', '순천', '충청북도', '증평', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '충청북도', '음성', '전라북도', '완주', '충청북도', '옥천', '전라남도', '함평', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '충청북도', '충주', '전라북도', '전주', '경기도', '평택', '충청남도', '서천', '전라남도', '장성', '경상남도', '함안', '전라북도', '임실', '충청북도', '영동', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '전라북도', '정읍', '전라북도', '남원', '경상북도', '청도', '전라남도', '곡성', '전라남도', '무안', '경상북도', '경산', '전라북도', '익산', '경기도', '오산']"
충청북도,충주,"['경상북도', '영주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '서울', '서울', '대구', '대구', '충청북도', '제천', '세종', '세종', '경기도', '수원', '충청북도', '증평', '대전', '대전', '충청북도', '청주', '충청북도', '음성', '충청북도', '옥천', '경기도', '평택', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '경기도', '오산']"
충청북도,증평,"['경상북도', '영주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '서울', '서울', '대구', '대구', '충청북도', '제천', '세종', '세종', '경기도', '수원', '대전', '대전', '충청북도', '청주', '충청북도', '음성', '충청북도', '옥천', '충청북도', '충주', '경기도', '평택', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양']"
충청남도,계룡,"['충청남도', '논산', '전라남도', '여수', '전라남도', '목포', '광주', '광주', '서울', '서울', '경기도', '안양', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '대전', '대전', '충청북도', '청주', '전라북도', '완주', '경기도', '고양', '전라남도', '함평', '전라북도', '전주', '경기도', '평택', '전라남도', '장성', '전라북도', '임실', '충청남도', '천안', '전라남도', '화순', '전라남도', '보성', '전라북도', '정읍', '전라북도', '남원', '전라남도', '곡성', '전라남도', '무안', '전라북도', '익산', '경기도', '오산']"
경상남도,하동,"['전라남도', '목포', '광주', '광주', '경상남도', '창원', '경상남도', '김해', '전라남도', '나주', '전라남도', '순천', '전라남도', '함평', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '경상남도', '함안', '경상남도', '밀양', '부산', '부산', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '경상남도', '사천', '전라남도', '광양', '전라남도', '무안', '경상북도', '포항']"
전라남도,곡성,"['충청남도', '논산', '전라남도', '여수', '서울', '서울', '경기도', '안양', '경기도', '광명', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '전라북도', '완주', '경기도', '고양', '전라북도', '전주', '경기도', '평택', '전라북도', '임실', '충청남도', '천안', '충청남도', '공주', '전라북도', '남원', '전라북도', '익산', '경기도', '오산']"
충청북도,제천,"['경상북도', '영주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상북도', '안동', '서울', '서울', '대구', '대구', '강원도', '정선', '세종', '세종', '경기도', '수원', '충청북도', '증평', '대전', '대전', '강원도', '영월', '강원도', '태백', '충청북도', '청주', '경상북도', '의성', '강원도', '동해', '충청북도', '음성', '경기도', '고양', '충청북도', '옥천', '울산', '울산', '경상북도', '경주', '충청북도', '충주', '경상북도', '군위', '경상북도', '영천', '경기도', '평택', '강원도', '삼척', '경기도', '양평', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '부산', '부산', '강원도', '원주', '경기도', '남양주', '경기도', '오산']"
전라남도,보성,"['충청남도', '논산', '전라남도', '목포', '광주', '광주', '경상남도', '창원', '서울', '서울', '경상남도', '하동', '경상남도', '김해', '전라북도', '김제', '전라남도', '나주', '세종', '세종', '경기도', '수원', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '전라남도', '함평', '경상남도', '진주', '경기도', '평택', '전라남도', '장성', '경상남도', '함안', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '전라남도', '화순', '경상남도', '양산', '전라북도', '정읍', '경상남도', '사천', '전라남도', '광양', '전라남도', '무안', '전라북도', '익산']"
강원도,평창,"['강원도', '횡성', '서울', '서울', '강원도', '강릉', '강원도', '동해', '경기도', '양평', '강원도', '원주']"
경상북도,영덕,"['경상북도', '포항']"
경상남도,양산,"['전라남도', '목포', '광주', '광주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '하동', '경상남도', '김해', '경기도', '안양', '전라남도', '나주', '세종', '세종', '경기도', '수원', '전라남도', '순천', '대전', '대전', '충청북도', '옥천', '전라남도', '함평', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '경기도', '평택', '경상남도', '함안', '충청북도', '영동', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '전라남도', '화순', '전라남도', '보성', '경상남도', '사천', '경상북도', '청도', '전라남도', '광양', '전라남도', '무안', '경상북도', '경산', '경상북도', '포항', '경기도', '오산']"
전라남도,순천,"['충청남도', '논산', '전라남도', '여수', '전라남도', '목포', '광주', '광주', '경상남도', '창원', '서울', '서울', '경상남도', '하동', '경상남도', '김해', '경기도', '안양', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '세종', '세종', '경기도', '수원', '충청남도', '아산', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '전라북도', '완주', '경기도', '고양', '전라남도', '함평', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '전라북도', '전주', '경기도', '평택', '전라남도', '장성', '경상남도', '함안', '전라북도', '임실', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '충청남도', '공주', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '전라북도', '정읍', '전라북도', '남원', '경상남도', '사천', '전라남도', '곡성', '전라남도', '광양', '전라남도', '무안', '전라북도', '익산', '경상북도', '포항', '경기도', '오산']"
경기도,남양주,"['경상북도', '영주', '경기도', '가평', '경상북도', '안동', '서울', '서울', '강원도', '정선', '충청북도', '제천', '강원도', '영월', '강원도', '태백', '강원도', '동해', '경기도', '고양', '강원도', '삼척', '경기도', '양평', '강원도', '춘천', '충청북도', '단양', '강원도', '원주']"
전라남도,장성,"['충청남도', '논산', '전라남도', '목포', '광주', '광주', '서울', '서울', '경기도', '안양', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '전라남도', '함평', '경기도', '평택', '충청남도', '천안', '전라남도', '화순', '전라남도', '보성', '전라북도', '정읍', '전라남도', '무안', '전라북도', '익산']"
전라남도,목포,"['충청남도', '논산', '광주', '광주', '경상남도', '창원', '서울', '서울', '경상남도', '하동', '경상남도', '김해', '경기도', '안양', '경기도', '화성', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '경기도', '고양', '전라남도', '함평', '경상남도', '진주', '경기도', '평택', '전라남도', '장성', '경상남도', '함안', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '충청남도', '공주', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '전라북도', '정읍', '경상남도', '사천', '전라남도', '광양', '전라남도', '무안', '전라북도', '익산']"
대구,대구,"['경상북도', '영주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상북도', '안동', '경상남도', '창원', '서울', '서울', '경상남도', '김해', '경기도', '안양', '경기도', '화성', '경기도', '광명', '충청북도', '제천', '세종', '세종', '경기도', '수원', '충청남도', '아산', '충청북도', '증평', '대전', '대전', '강원도', '태백', '충청북도', '청주', '경상북도', '의성', '강원도', '동해', '충청북도', '음성', '경기도', '고양', '충청북도', '옥천', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '충청북도', '충주', '경상북도', '군위', '경상북도', '영천', '경기도', '평택', '강원도', '삼척', '경상남도', '함안', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '경상남도', '밀양', '부산', '부산', '경상남도', '양산', '경상북도', '청도', '경상북도', '경산', '경상북도', '포항', '경상북도', '봉화', '경기도', '오산']"
충청남도,공주,"['전라남도', '여수', '전라남도', '목포', '광주', '광주', '서울', '서울', '경기도', '화성', '경기도', '광명', '전라남도', '나주', '충청남도', '아산', '전라남도', '순천', '충청북도', '청주', '경기도', '고양', '전라북도', '전주', '경기도', '평택', '전라북도', '정읍', '전라북도', '남원', '전라남도', '곡성', '전라북도', '익산']"
경기도,오산,"['광주', '광주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '서울', '서울', '대구', '대구', '경기도', '안양', '충청북도', '제천', '세종', '세종', '경기도', '수원', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '충청북도', '음성', '충청북도', '옥천', '충청북도', '충주', '경기도', '평택', '충청북도', '영동', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '경상남도', '양산', '전라남도', '곡성', '경상북도', '경산', '전라북도', '익산']"
경상북도,포항,"['경상북도', '김천', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '하동', '경상남도', '김해', '경기도', '광명', '충청남도', '아산', '전라남도', '순천', '대전', '대전', '충청북도', '청주', '경기도', '고양', '경상북도', '영덕', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '경상북도', '영천', '경상남도', '함안', '경상남도', '밀양', '부산', '부산', '경상남도', '양산', '경상남도', '사천', '전라남도', '광양', '경상북도', '경산']"
서울,서울,"['충청남도', '논산', '경상북도', '영주', '전라남도', '여수', '강원도', '횡성', '전라남도', '목포', '충청남도', '홍성', '광주', '광주', '경상북도', '김천', '전라북도', '군산', '경기도', '가평', '경상북도', '구미', '경상북도', '칠곡', '경상북도', '안동', '경상남도', '창원', '충청남도', '보령', '대구', '대구', '강원도', '정선', '충청남도', '예산', '경상남도', '김해', '경기도', '안양', '경기도', '화성', '경기도', '광명', '전라북도', '김제', '전라남도', '나주', '충청북도', '제천', '강원도', '강릉', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '충청북도', '증평', '강원도', '평창', '충청남도', '계룡', '대전', '대전', '강원도', '영월', '강원도', '태백', '충청북도', '청주', '경상북도', '의성', '강원도', '동해', '충청북도', '음성', '전라북도', '완주', '경기도', '고양', '충청북도', '옥천', '전라남도', '함평', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '충청북도', '충주', '경상북도', '군위', '경상북도', '영천', '전라북도', '전주', '경기도', '평택', '강원도', '삼척', '충청남도', '서천', '경기도', '양평', '전라남도', '장성', '경상남도', '함안', '강원도', '춘천', '전라북도', '임실', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '경상남도', '밀양', '부산', '부산', '충청남도', '공주', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '강원도', '원주', '전라북도', '정읍', '전라북도', '남원', '경기도', '남양주', '경상북도', '청도', '전라남도', '곡성', '전라남도', '무안', '경상북도', '경산', '전라북도', '익산', '경상북도', '포항', '경기도', '오산']"
부산,부산,"['경상북도', '영주', '전라남도', '목포', '광주', '광주', '경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상북도', '안동', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '하동', '경상남도', '김해', '경기도', '안양', '경기도', '화성', '경기도', '광명', '전라남도', '나주', '충청북도', '제천', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '대전', '대전', '강원도', '태백', '충청북도', '청주', '경상북도', '의성', '강원도', '동해', '경기도', '고양', '충청북도', '옥천', '전라남도', '함평', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '경상북도', '군위', '경상북도', '영천', '경기도', '평택', '강원도', '삼척', '경기도', '양평', '경상남도', '함안', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '경상남도', '밀양', '전라남도', '화순', '경상남도', '양산', '전라남도', '보성', '강원도', '원주', '경상남도', '사천', '경상북도', '청도', '전라남도', '광양', '전라남도', '무안', '경상북도', '경산', '경상북도', '포항', '경상북도', '봉화', '경기도', '오산']"
전라북도,김제,"['충청남도', '논산', '전라남도', '목포', '광주', '광주', '서울', '서울', '경기도', '안양', '경기도', '광명', '전라남도', '나주', '세종', '세종', '경기도', '수원', '충청남도', '아산', '전라남도', '순천', '충청남도', '계룡', '대전', '대전', '충청북도', '청주', '전라남도', '함평', '경기도', '평택', '전라남도', '장성', '충청남도', '천안', '전라남도', '화순', '전라남도', '보성', '전라북도', '정읍', '전라남도', '무안', '전라북도', '익산']"
경상북도,청도,"['경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '김해', '경기도', '안양', '세종', '세종', '경기도', '수원', '대전', '대전', '충청북도', '옥천', '경상남도', '진주', '경기도', '평택', '경상남도', '함안', '충청북도', '영동', '충청남도', '천안', '경상남도', '밀양', '부산', '부산', '경상남도', '양산', '경상북도', '경산']"
경상북도,영주,"['경상북도', '김천', '경상북도', '구미', '경상북도', '칠곡', '경상북도', '안동', '서울', '서울', '대구', '대구', '충청북도', '제천', '세종', '세종', '충청북도', '증평', '대전', '대전', '강원도', '태백', '충청북도', '청주', '경상북도', '의성', '강원도', '동해', '충청북도', '음성', '경기도', '고양', '충청북도', '옥천', '울산', '울산', '경상북도', '경주', '충청북도', '충주', '경상북도', '군위', '경상북도', '영천', '강원도', '삼척', '경기도', '양평', '충청북도', '영동', '충청북도', '단양', '부산', '부산', '강원도', '원주', '경기도', '남양주', '경상북도', '경산', '경상북도', '봉화']"
경상북도,김천,"['경상북도', '영주', '경상북도', '구미', '경상북도', '칠곡', '경상남도', '창원', '서울', '서울', '대구', '대구', '경상남도', '김해', '경기도', '안양', '경기도', '화성', '경기도', '광명', '충청북도', '제천', '세종', '세종', '경기도', '수원', '충청남도', '아산', '충청북도', '증평', '대전', '대전', '충청북도', '청주', '충청북도', '음성', '경기도', '고양', '충청북도', '옥천', '울산', '울산', '경상남도', '진주', '경상북도', '경주', '충청북도', '충주', '경기도', '평택', '경상남도', '함안', '충청북도', '영동', '충청남도', '천안', '충청북도', '단양', '경상남도', '밀양', '부산', '부산', '경상남도', '양산', '경상북도', '청도', '경상북도', '경산', '경상북도', '포항', '경기도', '오산']"
